shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths
7624,0,0,434644.96570329583,381809.5768323653,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,1,434693.94462254393,381739.9495691694,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,2,434630.29376438406,381700.7190261131,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,3,434641.48875753814,381644.2443239806,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,4,434521.3639948172,381676.5019627522,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,5,434465.3640910281,381741.68816161755,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,6,434423.457174395,381750.59469154995,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,7,434409.2512126876,381718.5006486624,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,8,434494.74204739375,381683.5866606631,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,9,434555.04097545607,381503.33987716545,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,10,434556.4709739991,381498.21290864423,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,11,434590.29095768783,381314.73885173316,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,12,434538.9530848628,381240.1015670358,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,13,434588.8640049418,381162.81632782484,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,14,434761.6446471572,381171.81806105905,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,15,434780.58861591446,381145.3813369338,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,16,434618.1449833382,381030.0040512497,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,17,434367.0114910715,381003.69655774214,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,18,434168.8318333572,380977.2205180407,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,19,433956.3472345276,380825.24173237185,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,20,433922.2093004056,380795.7994641463,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,21,433918.1803082053,380792.23843282467,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,22,433846.895445711,380731.0678745542,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,23,433775.5525816693,380675.8092997152,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,24,433710.2446666623,380764.1243146627,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,25,433684.288692843,380826.0808323043,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,26,433834.31641018664,380932.4540825848,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,27,433806.05244700593,380970.99665389257,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
7624,0,28,433834.0523942405,380990.9968884174,7625,E01007823,Sheffield 069A,Sheffield 069A,421797.967337,5357.719134255739
